Directory,Report PDF,Old File,New File,Total Changes,Replacements,Insertions,Deletions,Styling,Annotations
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_915.pdf,2024.emnlp-main.915.pdf,2024_emnlp-main_915.pdf,876,91,125,226,306,306
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_924.pdf,2024.emnlp-main.924.pdf,2024_emnlp-main_924.pdf,1197,133,174,243,271,271
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_942.pdf,2024.emnlp-main.942.pdf,2024_emnlp-main_942.pdf,938,177,134,180,263,263
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_991.pdf,2024.emnlp-main.991.pdf,2024_emnlp-main_991.pdf,1282,152,162,240,496,496
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_1025.pdf,2024.emnlp-main.1025.pdf,2024_emnlp-main_1025.pdf,900,43,141,373,224,224
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_1026.pdf,2024.emnlp-main.1026.pdf,2024_emnlp-main_1026.pdf,920,47,128,273,242,242
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_1055.pdf,2024.emnlp-main.1055.pdf,2024_emnlp-main_1055.pdf,853,83,83,112,345,345
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_1067.pdf,2024.emnlp-main.1067.pdf,2024_emnlp-main_1067.pdf,1161,213,150,218,404,404
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_1069.pdf,2024.emnlp-main.1069.pdf,2024_emnlp-main_1069.pdf,1013,48,142,348,195,195
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_1088.pdf,2024.emnlp-main.1088.pdf,2024_emnlp-main_1088.pdf,1248,177,136,265,380,380
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_1127.pdf,2024.emnlp-main.1127.pdf,2024_emnlp-main_1127.pdf,541,32,114,246,74,74
Qwen\Unscanned,[Compare Report] 2024_emnlp-main_1156.pdf,2024.emnlp-main.1156.pdf,2024_emnlp-main_1156.pdf,1534,163,333,409,275,275
Qwen\Unscanned,[Compare Report] EstablishingTrustworthiness.pdf,EstablishingTrustworthiness.pdf,EstablishingTrustworthiness.pdf,725,23,72,232,181,181
Qwen\Unscanned,[Compare Report] PrimacyEffectofChatGPT.pdf,PrimacyEffectofChatGPT.pdf,PrimacyEffectofChatGPT.pdf,677,105,84,201,133,133
Qwen\Unscanned,[Compare Report] T5ModelsForAfricanLanguages.pdf,T5ModelsForAfricanLanguages.pdf,T5ModelsForAfricanLanguages.pdf,988,46,74,420,205,205
Qwen\Scanned,[Compare Report] 2023_emnlp-main_118.pdf,2023.emnlp-main.118.pdf,2023_emnlp-main_118.pdf,1491,189,211,422,376,376
Qwen\Scanned,[Compare Report] 2023_emnlp-main_124.pdf,2023.emnlp-main.124.pdf,2023_emnlp-main_124.pdf,1024,137,123,254,324,324
Qwen\Scanned,[Compare Report] 2023_emnlp-main_638.pdf,2023.emnlp-main.638.pdf,2023_emnlp-main_638.pdf,1276,174,140,262,444,444
Qwen\Scanned,[Compare Report] 2024_emnlp-main_147.pdf,2024.emnlp-main.147.pdf,2024_emnlp-main_147.pdf,1232,217,174,252,379,379
Qwen\Scanned,[Compare Report] 2024_emnlp-main_156.pdf,2024.emnlp-main.156.pdf,2024_emnlp-main_156.pdf,1172,201,208,248,297,297
Qwen\Scanned,[Compare Report] 2024_emnlp-main_228.pdf,2024.emnlp-main.228.pdf,2024_emnlp-main_228.pdf,947,205,103,161,347,347
Qwen\Scanned,[Compare Report] 2024_emnlp-main_260.pdf,2024.emnlp-main.260.pdf,2024_emnlp-main_260.pdf,1099,103,170,311,332,332
Qwen\Scanned,[Compare Report] 2024_emnlp-main_238.pdf,2024.emnlp-main.238.pdf,2024_emnlp-main_238.pdf,143,0,0,81,0,0
Qwen\Scanned,[Compare Report] 2024_emnlp-main_293.pdf,2024.emnlp-main.293.pdf,2024_emnlp-main_293.pdf,1375,232,203,227,390,390
Qwen\Scanned,[Compare Report] 2024_emnlp-main_302.pdf,2024.emnlp-main.302.pdf,2024_emnlp-main_302.pdf,948,117,146,201,271,271
Qwen\Scanned,[Compare Report] 2024_emnlp-main_324.pdf,2024.emnlp-main.324.pdf,2024_emnlp-main_324.pdf,739,50,97,90,292,292
Qwen\Scanned,[Compare Report] 2024_emnlp-main_336.pdf,2024.emnlp-main.336.pdf,2024_emnlp-main_336.pdf,1111,179,211,228,330,330
Qwen\Scanned,[Compare Report] 2024_emnlp-main_339.pdf,2024.emnlp-main.339.pdf,2024_emnlp-main_339.pdf,830,79,132,153,267,267
Qwen\Scanned,[Compare Report] 2024_emnlp-main_362.pdf,2024.emnlp-main.362.pdf,2024_emnlp-main_362.pdf,1138,189,138,198,433,433
Qwen\Scanned,[Compare Report] 2024_emnlp-main_431.pdf,2024.emnlp-main.431.pdf,2024_emnlp-main_431.pdf,1131,165,165,351,248,248
Qwen\Scanned,[Compare Report] 2024_emnlp-main_445.pdf,2024.emnlp-main.445.pdf,2024_emnlp-main_445.pdf,674,105,108,158,264,264
Qwen\Scanned,[Compare Report] 2024_emnlp-main_508.pdf,2024.emnlp-main.508.pdf,2024_emnlp-main_508.pdf,1040,103,146,293,261,261
Qwen\Scanned,[Compare Report] 2024_emnlp-main_524.pdf,2024.emnlp-main.524.pdf,2024_emnlp-main_524.pdf,1575,59,139,544,297,297
Qwen\Scanned,[Compare Report] 2024_emnlp-main_553.pdf,2024.emnlp-main.553.pdf,2024_emnlp-main_553.pdf,1106,173,66,375,43,43
Qwen\Scanned,[Compare Report] 2024_emnlp-main_614.pdf,2024.emnlp-main.614.pdf,2024_emnlp-main_614.pdf,0,0,0,0,0,0
Qwen\Scanned,[Compare Report] 2024_emnlp-main_635.pdf,2024.emnlp-main.635.pdf,2024_emnlp-main_635.pdf,1059,80,243,348,83,83
Qwen\Scanned,[Compare Report] 2024_emnlp-main_663.pdf,2024.emnlp-main.663.pdf,2024_emnlp-main_663.pdf,1062,127,179,222,358,358
Qwen\Scanned,[Compare Report] 2024_emnlp-main_672.pdf,2024.emnlp-main.672.pdf,2024_emnlp-main_672.pdf,590,70,128,182,74,74
Qwen\Scanned,[Compare Report] 2024_emnlp-main_701.pdf,2024.emnlp-main.701.pdf,2024_emnlp-main_701.pdf,435,68,79,79,131,131
Qwen\Scanned,[Compare Report] 2024_emnlp-main_704.pdf,2024.emnlp-main.704.pdf,2024_emnlp-main_704.pdf,1043,97,130,349,255,255
Qwen\Scanned,[Compare Report] 2024_emnlp-main_730.pdf,2024.emnlp-main.730.pdf,2024_emnlp-main_730.pdf,1370,132,242,348,328,328
Qwen\Scanned,[Compare Report] 2024_emnlp-main_767.pdf,2024.emnlp-main.767.pdf,2024_emnlp-main_767.pdf,1731,243,226,389,359,359
Qwen\Scanned,[Compare Report] 2024_emnlp-main_773.pdf,2024.emnlp-main.773.pdf,2024_emnlp-main_773.pdf,779,115,112,141,303,303
Qwen\Scanned,[Compare Report] 2024_emnlp-main_830.pdf,2024.emnlp-main.830.pdf,2024_emnlp-main_830.pdf,606,92,109,155,128,128
Qwen\Scanned,[Compare Report] 2024_emnlp-main_831.pdf,2024.emnlp-main.831.pdf,2024_emnlp-main_831.pdf,1395,62,154,840,226,226
Qwen\Scanned,[Compare Report] 2024_emnlp-main_869.pdf,2024.emnlp-main.869.pdf,2024_emnlp-main_869.pdf,660,87,106,125,183,183
Qwen\Scanned,[Compare Report] 2024_emnlp-main_888.pdf,2024.emnlp-main.888.pdf,2024_emnlp-main_888.pdf,1151,153,222,312,224,224
Qwen\Scanned,[Compare Report] 2024_emnlp-main_915.pdf,2024.emnlp-main.915.pdf,2024_emnlp-main_915.pdf,935,133,126,258,247,247
Qwen\Scanned,[Compare Report] 2024_emnlp-main_924.pdf,2024.emnlp-main.924.pdf,2024_emnlp-main_924.pdf,966,69,91,363,81,81
Qwen\Scanned,[Compare Report] 2024_emnlp-main_942.pdf,2024.emnlp-main.942.pdf,2024_emnlp-main_942.pdf,836,105,162,171,240,240
Qwen\Scanned,[Compare Report] 2024_emnlp-main_991.pdf,2024.emnlp-main.991.pdf,2024_emnlp-main_991.pdf,1305,178,123,241,529,529
Qwen\Scanned,[Compare Report] 2024_emnlp-main_1022.pdf,2024.emnlp-main.1022.pdf,2024_emnlp-main_1022.pdf,1375,53,57,377,375,375
Qwen\Scanned,[Compare Report] 2024_emnlp-main_1026.pdf,2024.emnlp-main.1026.pdf,2024_emnlp-main_1026.pdf,1109,160,215,209,288,288
Qwen\Scanned,[Compare Report] 2024_emnlp-main_1055.pdf,2024.emnlp-main.1055.pdf,2024_emnlp-main_1055.pdf,879,53,63,195,345,345
Qwen\Scanned,[Compare Report] 2024_emnlp-main_1067.pdf,2024.emnlp-main.1067.pdf,2024_emnlp-main_1067.pdf,1178,213,157,251,354,354
Qwen\Scanned,[Compare Report] 2024_emnlp-main_1069.pdf,2024.emnlp-main.1069.pdf,2024_emnlp-main_1069.pdf,1517,268,200,307,520,520
Qwen\Scanned,[Compare Report] 2024_emnlp-main_1088.pdf,2024.emnlp-main.1088.pdf,2024_emnlp-main_1088.pdf,1281,192,177,257,287,287
Qwen\Scanned,[Compare Report] 2024_emnlp-main_1127.pdf,2024.emnlp-main.1127.pdf,2024_emnlp-main_1127.pdf,630,78,124,192,153,153
Qwen\Scanned,[Compare Report] 2024_emnlp-main_1156.pdf,2024.emnlp-main.1156.pdf,2024_emnlp-main_1156.pdf,1581,204,222,405,396,396
Qwen\Scanned,[Compare Report] EstablishingTrustworthiness.pdf,EstablishingTrustworthiness.pdf,EstablishingTrustworthiness.pdf,1213,177,159,272,264,264
Qwen\Scanned,[Compare Report] PrimacyEffect.pdf,PrimacyEffectofChatGPT.pdf,PrimacyEffect.pdf,806,105,127,194,226,226
Qwen\Scanned,[Compare Report] T5ForAfricanLanguage.pdf,T5ModelsForAfricanLanguages.pdf,T5ForAfricanLanguage.pdf,1107,128,127,281,368,368
